order_id,order_date,product,region,customer_id,price,quantity,revenue,month_year,month_name,quarter,total_orders,total_spent,segment
1000,2025-05-12,Keyboard,South,519,196.13,3,588.39,2025-05,May,2,968,1801348.14,High Value
1001,2025-05-12,Headphones,Unknown,514,1018.43,5,5092.15,2025-05,May,2,1012,1807715.97,High Value
1002,2025-05-12,Laptop,North,506,942.49,4,3769.96,2025-05,May,2,968,1857117.28,High Value
1003,2025-05-12,Laptop,North,501,613.47,1,613.47,2025-05,May,2,948,1716692.5,High Value
1004,2025-05-12,Laptop,Unknown,507,1103.83,5,5519.15,2025-05,May,2,925,1702254.36,High Value
1005,2025-05-12,Headphones,East,517,1155.82,1,1155.82,2025-05,May,2,930,1758570.59,High Value
1006,2025-02-06,Keyboard,Unknown,504,171.37,2,342.74,2025-02,February,1,974,1841907.46,High Value
1007,2025-08-22,Headphones,East,508,835.19,4,3340.76,2025-08,August,3,950,1762563.94,High Value
1008,2025-01-16,Headphones,South,515,839.6,3,2518.8,2025-01,January,1,963,1783010.34,High Value
1009,2025-10-25,Keyboard,East,519,366.81,3,1100.43,2025-10,October,4,968,1801348.14,High Value
1011,2025-01-18,Monitor,North,507,624.6,4,2498.4,2025-01,January,1,925,1702254.36,High Value
1012,2025-05-04,Laptop,South,504,56.28,1,56.28,2025-05,May,2,974,1841907.46,High Value
1013,2025-02-16,Smartwatch,East,505,832.79,4,3331.16,2025-02,February,1,958,1766477.7,High Value
1014,2025-04-06,Laptop,North,501,1044.96,4,4179.84,2025-04,April,2,948,1716692.5,High Value
1015,2025-08-25,Laptop,West,513,53.15,2,106.3,2025-08,August,3,965,1816558.56,High Value
1016,2025-10-13,Smartwatch,West,510,489.02,3,1467.06,2025-10,October,4,938,1816831.67,High Value
1017,2025-07-05,Headphones,North,503,613.47,3,1840.41,2025-07,July,3,930,1750977.1,High Value
1018,2025-02-22,Smartwatch,North,516,513.54,4,2054.16,2025-02,February,1,985,1818375.7,High Value
1019,2025-01-29,Headphones,East,519,642.99,3,1928.97,2025-01,January,1,968,1801348.14,High Value
1020,2025-10-05,Headphones,Unknown,508,55.37,3,166.11,2025-10,October,4,950,1762563.94,High Value
1021,2025-08-23,Monitor,South,513,146.38,4,585.52,2025-08,August,3,965,1816558.56,High Value
1022,2025-01-14,Keyboard,Unknown,511,668.43,3,2005.29,2025-01,January,1,929,1744998.21,High Value
1023,2025-09-27,Laptop,South,500,170.25,4,681.0,2025-09,September,3,948,1746598.65,High Value
1024,2025-01-12,Laptop,South,504,72.1,2,144.2,2025-01,January,1,974,1841907.46,High Value
1025,2025-05-07,Headphones,South,515,279.82,4,1119.28,2025-05,May,2,963,1783010.34,High Value
1026,2025-06-20,Keyboard,North,516,931.24,1,931.24,2025-06,June,2,985,1818375.7,High Value
1027,2025-09-16,Headphones,North,505,666.5,4,2666.0,2025-09,September,3,958,1766477.7,High Value
1028,2025-08-29,Keyboard,South,506,293.0,2,586.0,2025-08,August,3,968,1857117.28,High Value
1029,2025-10-23,Headphones,East,512,414.63,4,1658.52,2025-10,October,4,918,1696896.54,High Value
1030,2025-04-16,Laptop,North,509,51.98,2,103.96,2025-04,April,2,995,1889373.52,High Value
1031,2025-07-19,Headphones,North,501,613.47,5,3067.35,2025-07,July,3,948,1716692.5,High Value
1032,2025-01-05,Smartwatch,North,511,792.26,5,3961.3,2025-01,January,1,929,1744998.21,High Value
1033,2025-05-30,Headphones,South,507,1075.77,2,2151.54,2025-05,May,2,925,1702254.36,High Value
